num_individuals,num_neighbors,num_facts,starting_knowledge,investigation_probability,philosophy,truth_mean,truth_total,false_mean,false_total
100,2,1200,15,0.1,skeptical,0.5881428571428571,876,0.41185714285714276,615
100,2,1200,15,0.1,skeptical,0.630952380952381,944,0.36904761904761907,552
100,2,1200,15,0.1,skeptical,0.6084285714285713,908,0.39157142857142857,585
100,2,1200,15,0.1,skeptical,0.6001904761904762,898,0.3998095238095239,598
100,2,1200,15,0.1,skeptical,0.6077142857142855,907,0.39228571428571435,587
100,2,1200,15,0.1,skeptical,0.6145567765567764,915,0.3854432234432233,573
100,2,1200,15,0.1,skeptical,0.5937179487179486,884,0.40628205128205125,604
100,2,1200,15,0.1,skeptical,0.6136556776556776,915,0.3863443223443223,576
100,2,1200,15,0.1,skeptical,0.615095238095238,917,0.384904761904762,575
100,2,1200,15,0.1,skeptical,0.6145128205128204,912,0.38548717948717937,575
100,2,1200,15,0.1,reid,0.5860970095239832,31440,0.41390299047601686,22201
100,2,1200,15,0.1,reid,0.6174168117687767,33566,0.3825831882312234,20802
100,2,1200,15,0.1,reid,0.5399911159627578,29508,0.46000888403724216,25135
100,2,1200,15,0.1,reid,0.5913235037597717,31847,0.40867649624022834,22012
100,2,1200,15,0.1,reid,0.6282314083948912,34181,0.371768591605109,20223
100,2,1200,15,0.1,reid,0.6285012894341717,33537,0.3714987105658284,19825
100,2,1200,15,0.1,reid,0.5978153703591741,32363,0.40218462964082585,21771
100,2,1200,15,0.1,reid,0.5985880733807625,31928,0.4014119266192373,21413
100,2,1200,15,0.1,reid,0.6095983244566504,32515,0.3904016755433496,20828
100,2,1200,15,0.1,reid,0.6615246165139549,35821,0.3384753834860452,18331
100,2,1200,15,0.1,direct,0.9666731316503183,17043,0.03332686834968206,593
100,2,1200,15,0.1,direct,0.9709207031815759,18163,0.029079296818423573,549
100,2,1200,15,0.1,direct,0.9549650820220907,13267,0.04503491797790917,632
100,2,1200,15,0.1,direct,0.9657665083471022,14861,0.03423349165289748,532
100,2,1200,15,0.1,direct,0.9605134628395617,14818,0.039486537160438304,615
100,2,1200,15,0.1,direct,0.9701400546882062,17261,0.029859945311793784,536
100,2,1200,15,0.1,direct,0.9605580617275242,13342,0.039441938272475975,553
100,2,1200,15,0.1,direct,0.9681981528430167,15596,0.031801847156982824,517
100,2,1200,15,0.1,direct,0.962186663147244,14283,0.037813336852756355,566
100,2,1200,15,0.1,direct,0.9719928918974533,19659,0.02800710810254662,571
100,2,1200,15,0.1,indirect,0.6213851013562539,21133,0.37861489864374603,12948
100,2,1200,15,0.1,indirect,0.579751105692748,18828,0.42024889430725204,13721
100,2,1200,15,0.1,indirect,0.6102496107649436,20305,0.3897503892350563,12916
100,2,1200,15,0.1,indirect,0.5772380179508363,19530,0.42276198204916354,14244
100,2,1200,15,0.1,indirect,0.6172420500996352,20435,0.3827579499003647,12668
100,2,1200,15,0.1,indirect,0.6298154590626506,21889,0.37018454093734926,12799
100,2,1200,15,0.1,indirect,0.5902936480346644,20435,0.40970635196533584,14206
100,2,1200,15,0.1,indirect,0.6602113423953239,22939,0.3397886576046762,11774
100,2,1200,15,0.1,indirect,0.623954321892799,20627,0.3760456781072012,12467
100,2,1200,15,0.1,indirect,0.5943367913506854,19660,0.40566320864931477,13416
100,4,1200,15,0.1,skeptical,0.6176190476190474,921,0.38238095238095254,570
100,4,1200,15,0.1,skeptical,0.6329926739926738,943,0.36700732600732594,549
100,4,1200,15,0.1,skeptical,0.5969523809523806,889,0.40304761904761915,599
100,4,1200,15,0.1,skeptical,0.6463333333333331,962,0.3536666666666665,526
100,4,1200,15,0.1,skeptical,0.5602857142857143,838,0.4397142857142857,657
100,4,1200,15,0.1,skeptical,0.6190952380952378,924,0.3809047619047618,569
100,4,1200,15,0.1,skeptical,0.5902380952380952,879,0.4097619047619046,608
100,4,1200,15,0.1,skeptical,0.535952380952381,799,0.464047619047619,694
100,4,1200,15,0.1,skeptical,0.579857142857143,868,0.42014285714285726,627
