num_individuals,num_neighbors,num_facts,starting_knowledge,investigation_probability,philosophy,truth_mean,truth_total,false_mean,false_total
8,8,16,15,0.4,skeptical,0.6509740259740259,50,0.349025974025974,27
8,8,16,15,0.4,skeptical,0.43819444444444444,36,0.5618055555555556,45
8,8,16,15,0.4,skeptical,0.671875,51,0.328125,25
8,8,16,15,0.4,skeptical,0.6610795454545455,51,0.33892045454545455,28
8,8,16,15,0.4,skeptical,0.3602661227661228,27,0.6397338772338772,52
8,8,16,15,0.4,skeptical,0.6543876262626261,51,0.34561237373737375,27
8,8,16,15,0.4,skeptical,0.38339646464646465,29,0.6166035353535353,48
8,8,16,15,0.4,reid,0.4375,56,0.5625,72
8,8,16,15,0.4,reid,0.671875,86,0.328125,42
8,8,16,15,0.4,reid,0.5390625,69,0.4609375,59
8,8,16,15,0.4,reid,0.5859375,75,0.4140625,53
8,8,16,15,0.4,reid,0.5703125,73,0.4296875,55
8,8,16,15,0.4,reid,0.34375,44,0.65625,84
8,8,16,15,0.4,reid,0.4609375,59,0.5390625,69
8,8,16,15,0.4,reid,0.453125,58,0.546875,70
8,8,16,15,0.4,reid,0.5546875,71,0.4453125,57
8,8,16,15,0.4,reid,0.5546875,71,0.4453125,57
8,8,16,15,0.4,direct,0.5859375,75,0.4140625,53
8,8,16,15,0.4,direct,0.6171875,79,0.3828125,49
8,8,16,15,0.4,direct,0.6640625,85,0.3359375,43
8,8,16,15,0.4,direct,0.546875,70,0.453125,58
8,8,16,15,0.4,direct,0.3046875,39,0.6953125,89
8,8,16,15,0.4,direct,0.3984375,51,0.6015625,77
8,8,16,15,0.4,direct,0.4453125,57,0.5546875,71
8,8,16,15,0.4,direct,0.609375,78,0.390625,50
8,8,16,15,0.4,direct,0.546875,70,0.453125,58
8,8,16,15,0.4,direct,0.5390625,69,0.4609375,59
8,8,16,15,0.4,indirect,0.46875,60,0.53125,68
8,8,16,15,0.4,indirect,0.5078125,65,0.4921875,63
8,8,16,15,0.4,indirect,0.546875,70,0.453125,58
8,8,16,15,0.4,indirect,0.5390625,69,0.4609375,59
8,8,16,15,0.4,indirect,0.4765625,61,0.5234375,67
8,8,16,15,0.4,indirect,0.765625,98,0.234375,30
8,8,16,15,0.4,indirect,0.6484375,83,0.3515625,45
8,8,16,15,0.4,indirect,0.6640625,85,0.3359375,43
8,8,16,15,0.4,indirect,0.6796875,87,0.3203125,41
8,8,16,15,0.4,indirect,0.3916666666666666,47,0.6083333333333333,73
8,8,16,15,0.6000000000000001,skeptical,0.6466540404040404,52,0.3533459595959596,29
