num_individuals,num_neighbors,num_facts,starting_knowledge,philosophy,truth_mean,truth_total,false_mean,false_total
8,2,1500,15,skeptical,0.5,60,0.49999999999999994,60
8,2,1500,15,skeptical,0.5416666666666666,64,0.4583333333333333,55
8,2,1500,15,skeptical,0.6000000000000001,72,0.4,48
8,2,1500,15,skeptical,0.6,72,0.4,48
8,2,1500,15,skeptical,0.6749999999999999,81,0.32499999999999996,39
8,2,1500,15,skeptical,0.6833333333333332,82,0.31666666666666665,38
8,2,1500,15,skeptical,0.6403846153846154,75,0.35961538461538467,43
8,2,1500,15,skeptical,0.7166666666666666,86,0.2833333333333333,34
8,2,1500,15,skeptical,0.5583333333333333,67,0.4416666666666667,53
8,2,1500,15,skeptical,0.44345238095238093,53,0.5565476190476191,66
8,2,1500,15,skeptical,0.6916666666666667,83,0.30833333333333335,37
8,2,1500,15,skeptical,0.625,75,0.375,45
8,2,1500,15,skeptical,0.725,87,0.275,33
8,2,1500,15,skeptical,0.5678571428571428,67,0.43214285714285716,51
8,2,1500,15,skeptical,0.55,66,0.45,54
8,2,1500,15,skeptical,0.65,77,0.35000000000000003,42
8,2,1500,15,skeptical,0.5333333333333333,64,0.4666666666666666,56
8,2,1500,15,skeptical,0.6333333333333333,76,0.3666666666666667,44
8,2,1500,15,skeptical,0.5,60,0.5,60
8,2,1500,15,skeptical,0.5583333333333333,67,0.44166666666666676,53
8,2,1500,15,skeptical,0.7476190476190477,89,0.2523809523809524,29
8,2,1500,15,skeptical,0.625,75,0.375,45
8,2,1500,15,skeptical,0.5428571428571428,64,0.45714285714285713,54
8,2,1500,15,skeptical,0.5916666666666666,71,0.4083333333333333,49
8,2,1500,15,skeptical,0.6416666666666667,77,0.3583333333333334,43
8,2,1500,15,skeptical,0.5083333333333333,61,0.4916666666666667,59
8,2,1500,15,skeptical,0.4083333333333334,49,0.5916666666666667,71
8,2,1500,15,skeptical,0.575,69,0.42500000000000004,51
8,2,1500,15,skeptical,0.47738095238095235,56,0.5226190476190475,61
8,2,1500,15,skeptical,0.7720238095238096,92,0.22797619047619044,27
8,2,1500,15,skeptical,0.5333333333333333,64,0.4666666666666667,56
8,2,1500,15,skeptical,0.6410714285714286,76,0.3589285714285715,43
8,2,1500,15,skeptical,0.5833333333333334,70,0.41666666666666674,50
8,2,1500,15,skeptical,0.505357142857143,60,0.4946428571428571,59
8,2,1500,15,skeptical,0.5666666666666667,68,0.4333333333333334,52
8,2,1500,15,skeptical,0.75,90,0.25,30
8,2,1500,15,skeptical,0.4916666666666667,59,0.5083333333333333,61
8,2,1500,15,skeptical,0.4857142857142857,58,0.5142857142857143,61
8,2,1500,15,skeptical,0.543452380952381,65,0.4565476190476191,54
8,2,1500,15,skeptical,0.6916666666666668,83,0.30833333333333335,37
8,2,1500,15,skeptical,0.6577380952380951,78,0.34226190476190477,41
8,2,1500,15,skeptical,0.5333333333333334,64,0.4666666666666667,56
8,2,1500,15,skeptical,0.4982142857142857,59,0.5017857142857143,60
8,2,1500,15,skeptical,0.8250000000000001,99,0.175,21
8,2,1500,15,skeptical,0.7166666666666666,86,0.2833333333333333,34
8,2,1500,15,skeptical,0.5083333333333333,61,0.4916666666666667,59
8,2,1500,15,skeptical,0.425,51,0.575,69
8,2,1500,15,skeptical,0.4964285714285714,59,0.5035714285714286,60
8,2,1500,15,skeptical,0.5726190476190477,68,0.4273809523809524,51
8,2,1500,15,skeptical,0.7666666666666667,92,0.2333333333333333,28
8,2,1500,15,skeptical,0.6577380952380953,78,0.34226190476190477,41
8,2,1500,15,skeptical,0.6916666666666667,83,0.30833333333333335,37
8,2,1500,15,skeptical,0.5666666666666667,68,0.43333333333333335,52
8,2,1500,15,skeptical,0.5898809523809524,70,0.4101190476190476,49
8,2,1500,15,skeptical,0.5166666666666666,62,0.4833333333333333,58
8,2,1500,15,skeptical,0.6053571428571429,72,0.39464285714285713,47
8,2,1500,15,skeptical,0.65,78,0.35,42
8,2,1500,15,skeptical,0.5666666666666667,68,0.4333333333333334,52
8,2,1500,15,skeptical,0.6833333333333333,82,0.31666666666666665,38
8,2,1500,15,skeptical,0.7583333333333334,90,0.24166666666666667,29
8,2,1500,15,skeptical,0.43333333333333335,52,0.5666666666666665,68
8,2,1500,15,skeptical,0.7416666666666667,89,0.2583333333333333,31
8,2,1500,15,skeptical,0.3666666666666667,44,0.6333333333333333,76
8,2,1500,15,skeptical,0.5916666666666667,71,0.4083333333333333,49
8,2,1500,15,skeptical,0.4166666666666667,50,0.5833333333333334,70
8,2,1500,15,skeptical,0.5916666666666666,71,0.4083333333333333,49
8,2,1500,15,skeptical,0.7166666666666668,86,0.2833333333333333,34
8,2,1500,15,skeptical,0.4666666666666666,56,0.5333333333333333,64
8,2,1500,15,skeptical,0.531547619047619,63,0.46845238095238095,56
8,2,1500,15,skeptical,0.7071428571428573,84,0.29285714285714287,35
8,2,1500,15,skeptical,0.55,66,0.45000000000000007,54
8,2,1500,15,skeptical,0.6333333333333333,76,0.36666666666666664,44
8,2,1500,15,skeptical,0.5750000000000001,69,0.425,51
8,2,1500,15,skeptical,0.6833333333333332,82,0.31666666666666665,38
8,2,1500,15,skeptical,0.5351190476190476,64,0.4648809523809524,55
